2022-10-02T21:40Z;04:12;00:52
2022-10-02T21:41Z;05:08;00:56
2022-10-02T21:42Z;06:06;00:57
2022-10-02T21:43Z;07:01;00:55
2022-10-02T21:44Z;08:05;01:04
2022-10-02T21:45Z;09:17;01:12
2022-10-02T21:46Z;10:28;01:10
2022-10-02T21:47Z;11:36;01:08
2022-10-02T21:48Z;12:56;01:20
2022-10-02T21:50Z;14:36;01:39
2022-10-02T21:51Z;15:48;01:12
2022-10-02T21:53Z;17:31;01:43
2022-10-02T21:54Z;18:55;01:24
2022-10-02T21:56Z;20:38;01:42
2022-10-02T21:58Z;22:10;01:32
2022-10-02T21:59Z;23:40;01:30
2022-10-02T22:00Z;24:42;01:02
2022-10-02T22:01Z;25:52;01:09
2022-10-02T22:02Z;26:55;01:02
2022-10-02T22:04Z;27:58;01:02
2022-10-02T22:05Z;28:59;01:01
2022-10-02T22:06Z;30:00;01:01
2022-10-02T22:07Z;31:05;01:05
2022-10-02T22:08Z;32:09;01:03
2022-10-02T22:09Z;33:14;01:05
2022-10-02T22:11Z;34:57;01:42
2022-10-02T22:12Z;36:42;01:44
2022-10-02T22:14Z;38:26;01:44
2022-10-02T22:16Z;40:08;01:42
2022-10-02T22:17Z;41:54;01:46
2022-10-02T22:19Z;43:07;01:12
2022-10-02T22:20Z;44:08;01:01
2022-10-02T22:20Z;44:33;00:24
