2022-10-03T20:29Z;25:35;02:14
2022-10-03T20:32Z;28:15;02:40
2022-10-03T20:34Z;30:38;02:22
2022-10-03T20:37Z;33:05;02:26
2022-10-03T20:39Z;35:43;02:38
2022-10-03T20:42Z;38:44;03:00
2022-10-03T20:45Z;41:13;02:29
2022-10-03T20:48Z;44:01;02:47
2022-10-03T20:50Z;46:50;02:49
2022-10-03T20:53Z;49:26;02:36
2022-10-03T20:56Z;52:28;03:02
2022-10-03T20:59Z;55:17;02:48
2022-10-03T21:02Z;58:05;02:47
2022-10-03T21:04Z;60:52;02:47
2022-10-03T21:08Z;64:11;03:19
2022-10-03T21:11Z;67:26;03:14
2022-10-03T21:14Z;70:29;03:02
2022-10-03T21:17Z;73:14;02:45
2022-10-03T21:20Z;75:56;02:42
2022-10-03T21:22Z;78:51;02:55
2022-10-03T21:25Z;81:44;02:52
2022-10-03T21:28Z;84:34;02:50
2022-10-03T21:31Z;87:29;02:54
2022-10-03T21:34Z;90:19;02:50
2022-10-03T21:36Z;92:55;02:35
2022-10-03T21:39Z;95:30;02:35
2022-10-03T21:41Z;97:54;02:23
2022-10-03T21:44Z;100:10;02:15
2022-10-03T21:46Z;102:20;02:10
2022-10-03T21:48Z;104:48;02:27
2022-10-03T21:51Z;107:33;02:45
2022-10-03T21:54Z;110:12;02:38
2022-10-03T21:55Z;111:16;01:04
