2022-10-03T20:28Z;24:50;01:28
2022-10-03T20:29Z;25:40;00:50
2022-10-03T20:30Z;26:31;00:51
2022-10-03T20:31Z;27:22;00:51
2022-10-03T20:32Z;28:11;00:49
2022-10-03T20:33Z;29:03;00:51
2022-10-03T20:34Z;29:56;00:53
2022-10-03T20:34Z;30:47;00:50
2022-10-03T20:35Z;31:39;00:52
2022-10-03T20:36Z;32:39;00:59
2022-10-03T20:37Z;33:33;00:54
2022-10-03T20:38Z;34:26;00:53
2022-10-03T20:39Z;35:22;00:55
2022-10-03T20:40Z;36:15;00:53
2022-10-03T20:41Z;37:12;00:57
2022-10-03T20:42Z;38:11;00:59
2022-10-03T20:43Z;39:10;00:59
2022-10-03T20:44Z;40:11;01:00
2022-10-03T20:45Z;41:08;00:57
2022-10-03T20:46Z;42:07;00:59
2022-10-03T20:47Z;43:07;00:59
2022-10-03T20:48Z;44:07;01:00
2022-10-03T20:49Z;45:09;01:02
2022-10-03T20:50Z;46:05;00:55
2022-10-03T20:51Z;47:08;01:03
2022-10-03T20:52Z;48:05;00:56
2022-10-03T20:53Z;49:01;00:56
2022-10-03T20:54Z;50:00;00:58
2022-10-03T20:55Z;51:03;01:03
2022-10-03T20:56Z;52:05;01:01
2022-10-03T20:57Z;53:12;01:06
2022-10-03T20:58Z;54:20;01:07
2022-10-03T20:58Z;54:41;00:21
